Team,Year,Position,MeanWins,Percentage,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,PowerRank,Power
Fremantle,2026,1,19.917,143.95097499999974,98.3,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,73.33529411764707
Sydney Swans,2026,2,17.373,131.88583499999976,1.7000000000000002,80.65,16.5,0.75,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,63.65294117647059
Hawthorn,2026,3,15.89,123.73694999999998,0.0,17.4,64.2,11.200000000000001,4.35,1.7500000000000002,1.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,68.41764705882353
Geelong Cats,2026,4,14.547,122.3200199999999,0.0,0.0,1.3,32.75,28.65,20.9,11.3,3.65,1.4500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,65.47205882352941
Adelaide Crows,2026,5,14.7315,117.32841500000004,0.0,0.1,5.1,24.5,26.200000000000003,21.75,17.5,4.3,0.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,57.25294117647059
Brisbane Lions,2026,6,14.792,114.83437499999998,0.0,0.15,10.75,18.35,20.849999999999998,24.3,15.85,7.6,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,66.4735294117647
Melbourne,2026,7,14.4905,106.9408350000001,0.0,0.0,2.15,11.05,13.200000000000001,20.4,32.800000000000004,13.3,6.950000000000001,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,54.89411764705883
Western Bulldogs,2026,8,13.45,95.38245500000001,0.0,0.0,0.0,0.8,3.1,5.45,11.4,38.550000000000004,26.150000000000002,11.899999999999999,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,49.4985294117647
Collingwood,2026,9,12.6165,105.80353500000021,0.0,0.0,0.0,0.6,3.25,5.45,9.9,28.000000000000004,43.85,7.6,1.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,7,56.77794117647059
Carlton,2026,10,11.449,97.30112500000006,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.25,12.7,28.799999999999997,25.85,26.150000000000002,2.0,0.05,0.0,0.0,0.0,0.0,9,53.069117647058825
St Kilda,2026,11,10.864,106.10561499999967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,3.85,36.25,33.650000000000006,23.7,1.8499999999999999,0.5,0.05,0.0,0.0,0.0,11,50.68676470588235
GWS GIANTS,2026,12,10.6585,100.18264499999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.35,15.25,34.35,39.65,6.9,1.25,0.1,0.0,0.0,0.0,10,52.41911764705883
North Melbourne,2026,13,8.813,87.57131999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.8,3.6999999999999997,42.55,36.5,16.400000000000002,0.0,0.0,0.0,15,36.866176470588236
Gold Coast SUNS,2026,14,8.249,94.13980499999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,5.949999999999999,32.300000000000004,31.95,28.449999999999996,0.0,0.0,0.0,13,46.98088235294118
Port Adelaide,2026,15,7.486,95.77452499999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.8,14.399999999999999,29.75,54.85,0.15,0.0,0.0,14,46.45294117647059
West Coast Eagles,2026,16,4.621,70.26565500000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,95.95,3.75,0.15,16,26.129411764705885
Richmond,2026,17,3.3325,61.761395000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,66.2,31.3,18,14.111764705882354
Essendon,2026,18,2.5365,63.991580000000155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,30.049999999999997,68.55,17,17.508823529411764
